"","time","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S30","S31","S32","S33","S34","S35","S36","S37","S38","S39","S40","S41","S42","S43","S44","S45","S46","S47","S48","S49","S50","S51","S52","S53","S54","S55","S56","S57","S58","S59","S60","S61","S62","S63"
"12",1.1,15836.7201206658,810.032442443598,3559.20731187426,2.28342017695718e-119,1.38002293378177e-59,1.24513347408885e-59,1.20320015055186e-111,6958.45940505185,402.589946983603,2640.26942555345,15.7601583659194,11.5750180243199,6.91500383542095,42.8887823028778,6114.91634985128,386.460465591971,3433.0775613515,19.0396331534198,14.8637305778333,8.21397954425559,72.0140396957868,5373.62566383346,368.736399912013,4145.420594798,19.4532994650348,15.6014613610514,8.33995943277632,86.7666684834587,4722.19256773426,352.224039593871,4777.4361048252,19.183090476347,15.5497458786381,8.20725298693789,92.8864164353558,4149.72529545465,337.430033687672,5334.3284200434,18.7567809258259,15.2633654273376,8.01993340621526,94.5461470835591,3646.65279603659,324.309359401835,5823.03667557276,18.3141809948634,14.9221059610705,7.82947060976661,94.0900620818543,3204.56453418729,312.699898154233,6250.78162485417,17.8955989100205,14.5853487386711,7.65044613533771,92.7219980991735,2816.06970275186,302.428629473001,6624.44818879547,17.5123720532206,14.2721559988896,7.48689084244102,91.0313442349802
"13",1.2,15836.720341425,810.032448334011,3559.2070858226,2.20862760555799e-119,1.35721652875468e-59,1.2245562665456e-59,1.16602761853417e-111,6958.45961389679,402.589952132025,2640.2692303672,15.7601584014166,11.5750180222923,6.91500385528069,42.8887817121494,6114.91667059515,386.46047360562,3433.07726443538,19.0396332473621,14.8637305979521,8.21397959199663,72.0140384759675,5373.62609557085,368.736410656093,4145.42018513034,19.4532996332526,15.6014614273476,8.33995951350956,86.7666668767438,4722.19309668154,352.224052461594,4777.43558315686,19.1830907051713,15.5497459891533,8.20725309381457,92.8864146561381,4149.72589702368,337.430047864011,5334.32780243382,18.7567811883515,15.2633655651765,8.01993352730274,94.5461452381167,3646.65343704896,324.309374055421,5823.03599560757,18.3141812648043,14.9221061068872,7.82947073370048,94.0900601961765,3204.56517509587,312.699912537046,6250.78093279245,17.8955991684192,14.5853488774746,7.65044625402358,92.721996162322,2816.07030004218,302.428642923506,6624.44754664391,17.5123722880269,14.2721561205314,7.4868909507967,91.0313422185295
"14",1.3,15836.7205583297,810.032454652007,3559.206862582,2.13628483678075e-119,1.33478702479026e-59,1.20431912011153e-59,1.13000352147692e-111,6958.45982001055,402.589957476907,2640.26903730777,15.7601584457486,11.5750180269859,6.91500387898031,42.8887811499462,6114.91698805266,386.46048179475,3433.0769703022,19.0396333518833,14.8637306267624,8.21397964424086,72.0140373061757,5373.62652375234,368.736421562428,4145.41977874687,19.4532998122961,15.6014615028674,8.33995959881329,86.7666653326965,4722.19362209593,352.224065486931,4777.43506501394,19.1830909448735,15.5497461090638,8.20725320527292,92.8864129464786,4149.72649536422,337.430062199503,5334.32718822565,18.7567814618173,15.2633657124955,8.01993365299719,94.5461434657408,3646.65407539849,324.309388873198,5823.03531848225,18.3141815457133,14.9221062622054,7.82947086225467,94.0900583849777,3204.56581414192,312.699927091096,6250.78024256737,17.8955994377448,14.5853490257349,7.65044637731403,92.7219943000878,2816.07089646828,302.428656554429,6624.44690496877,17.5123725337027,14.2721562515718,7.48689106373384,91.0313402763844
"15",1.4,15836.7207714039,810.032461393688,3559.20664213895,2.06631162825947e-119,1.31272819318167e-59,1.18441641490078e-59,1.09509237880345e-111,6958.46002340552,402.589963016271,2640.26884636594,15.7601584988357,11.5750180383416,6.91500390648503,42.8887806160446,6114.91730223415,386.460490157354,3433.07667894182,19.0396334668831,14.8637306641848,8.21397970094516,72.014036186023,5373.62694838449,368.736432628965,4145.41937563885,19.4533000020581,15.6014615875239,8.3399596886417,86.7666638508341,4722.19414397914,352.224078667791,4777.43455039191,19.1830911953445,15.5497462382802,8.20725332126638,92.8864113058517,4149.72709047248,337.430076692043,5334.32657742148,18.7567817461158,15.2633658692062,8.01993378325274,94.5461417658973,3646.65471107541,324.309403853073,5823.0346442088,18.3141818374867,14.9221064269395,7.82947099538491,94.0900566477358,3204.56645130951,312.699941814301,6250.77955420123,17.895599717898,14.58534918337,7.65044650516662,92.7219925119663,2816.07149200812,302.428670363671,6624.44626380158,17.5123727901509,14.2721563919307,7.48689118121105,91.0313384080511
"16",1.5,15836.7209806717,810.032468555169,3559.20642447995,1.99863036593678e-119,1.29103390815834e-59,1.16484262390229e-59,1.0612598060996e-111,6958.46022409414,402.589968748146,2640.26865753247,15.7601585605987,11.5750180563005,6.91500393776018,42.8887801102218,6114.91761315005,386.460498691435,3433.07639034406,19.0396335922614,14.86373071014,8.21397976206657,72.0140351151216,5373.62736947402,368.736443853659,4145.41897579742,19.4533002024316,15.60146168123,8.33995978294911,86.7666624306746,4722.19466233307,352.224092002088,4777.43403928607,19.1830914564755,15.5497463767132,8.20725344174854,92.8864097337321,4149.72768234483,337.430091339534,5334.32597002371,18.7567820411397,15.26336603522,8.01993391802362,94.5461401380524,3646.65534407014,324.309418992959,5823.03397279898,18.3141821400207,14.9221066010041,7.82947113304707,94.0900549839287,3204.5670865829,312.699956704587,6250.778867716,17.8956000087791,14.5853493502978,7.650446637539,92.7219907974537,2816.07208663991,302.428684349144,6624.44562317358,17.5123730572744,14.2721565415281,7.48689130318707,91.0313366130362
"17",1.6,15836.7211861574,810.032476132577,3559.20620959148,1.93316597797463e-119,1.26969814518483e-59,1.14559231144499e-59,1.02847248124811e-111,6958.46042208893,402.589974670569,2640.2684707981,15.7601586309586,11.5750180808039,6.91500397277122,42.8887796322553,6114.9179208109,386.460507395004,3433.07610449871,19.0396337279187,14.8637307645494,8.21397982756228,72.0140340930848,5373.62778702777,368.736455234476,4145.41857921364,19.4533004133102,15.6014617838992,8.33995988169004,86.7666610717374,4722.19517715977,352.224105487748,4777.4335316916,19.183091728158,15.5497465242736,8.20725356667316,92.8864082295957,4149.72827097784,337.430106139886,5334.32536603451,18.7567823467816,15.2633662104489,8.01993405726418,94.5461385816728,3646.65597437333,324.309434290777,5823.03330426427,18.314182453212,14.9221067843139,7.82947127519708,94.0900533930346,3204.56771994658,312.699971759886,6250.77818313337,17.8956003102892,14.5853495264364,7.65044677438892,92.7219891560459,2816.07268034207,302.428698508764,6624.44498311569,17.5123733349768,14.2721567002841,7.48689142962072,91.0313348908465
"18",1.7,15836.7213878852,810.032484122055,3559.20599745999,1.8698458514849e-119,1.24871497928781e-59,1.12666013168827e-59,9.96698111609257e-112,6958.46061740246,402.589980781587,2640.26828615357,15.7601587098368,11.5750181117931,6.91500401148373,42.8887791819235,6114.91822522733,386.460516266084,3433.07582139549,19.0396338737557,14.8637308273342,8.21397989738965,72.0140331195272,5373.62820105274,368.73646676939,4145.41818587847,19.4533006345876,15.6014618954452,8.33995998481914,86.7666597735427,4722.19568846145,352.224119122705,4777.43302760347,19.1830920102838,15.5497466808728,8.2072536959941,92.8864067929192,4149.72885636825,337.430121091018,5334.32476545583,18.7567826629349,15.2633663948047,8.0199342009289,94.5461370962259,3646.65660197581,324.309449744455,5823.03263861585,18.3141827769575,14.9221069767838,7.829471421791,94.0900518745322,3204.56835138525,312.69998697814,6250.7775004747,17.8956006223292,14.5853497117041,7.65044691567421,92.7219875872393,2816.07327309325,302.428712840458,6624.44434365857,17.5123736231616,14.2721568681191,7.48689156047095,91.0313332409895
"19",1.8,15836.7215858793,810.032492519756,3559.20578807195,1.80859975198734e-119,1.22807858341068e-59,1.10804082713748e-59,9.65905402215413e-112,6958.46081004737,402.589987079253,2640.26810358956,15.7601587971547,11.5750181492099,6.91500405386343,42.8887787590054,6114.91852641008,386.460525302705,3433.07554102408,19.0396340296735,14.8637308984163,8.21397997150619,72.0140321940639,5373.62861155605,368.736478456385,4145.41779578278,19.4533008661582,15.601462015782,8.33996009229123,86.7666585356119,4722.1961962405,352.224132904901,4777.43252701656,19.183092302745,15.5497468464221,8.20725382966539,92.8864054231799,4149.72943851298,337.430136190858,5334.32416828941,18.7567829894931,15.2633665881997,8.01993434897238,94.5461356811796,3646.65722686861,324.309465351931,5823.03197586466,18.3141831111541,14.9221071783289,7.82947157278495,94.0900504279003,3204.56898088381,312.700002357296,6250.77681976109,17.8956009448003,14.5853499060194,7.6504470613528,92.7219860905305,2816.07386487231,302.42872734216,6624.44370483256,17.5123739217327,14.2721570449538,7.48689169569681,91.031331662973
"20",1.9,15836.721780164,810.032501321849,3559.20558141379,1.74935974550578e-119,1.2077832267954e-59,1.08972922718384e-59,9.36064024948247e-112,6958.46100003635,402.589993561629,2640.26792309676,15.7601588928342,11.5750181929962,6.91500409987614,42.8887783632805,6114.91882437,386.460534502904,3433.07526337412,19.0396341955737,14.8637309777174,8.21398004986958,72.0140313163114,5373.62901854495,368.736490293455,4145.41740891737,19.4533011079166,15.6014621448238,8.33996020406131,86.7666573574672,4722.19670049944,352.224146832288,4777.43202992555,19.1830926054343,15.5497470208333,8.20725396764121,92.8864041198561,4149.73001740915,337.43015143734,5334.32357453678,18.7567833263497,15.2633667905463,8.01993450134933,94.5461343360021,3646.65784904297,324.309481111146,5823.03131602136,18.3141834556992,14.9221073888643,7.8294717281352,94.0900490526181,3204.5696084274,312.700017895308,6250.7761410133,17.895601277604,14.5853501093008,7.65044721138272,92.7219846654165,2816.07445565834,302.42874201181,6624.44306666772,17.5123742305941,14.2721572307088,7.48689183525743,91.0313301563052
"21",2,15836.7219707636,810.032510524517,3559.20537747194,1.69206012321596e-119,1.18782327339104e-59,1.07172024666863e-59,9.07144588668185e-112,6958.46118738216,402.590000226784,2640.26774466585,15.7601589967975,11.5750182430941,6.91500414948784,42.888777994529,6114.91911911803,386.46054386473,3433.07498843521,19.0396343713582,14.8637310651599,8.21398013243764,72.0140304858869,5373.62942202682,368.736502278603,4145.41702527292,19.4533013597577,15.6014622824852,8.33996032008454,86.7666562386321,4722.19720124097,352.224160902827,4777.43153632501,19.1830929182444,15.5497472040183,8.20725410987589,92.8864028824272,4149.73059305402,337.430166828409,5334.32298419925,18.756783673399,15.2633670017572,8.01993465801459,94.5461330601625,3646.6584684903,324.309497020052,5823.03065909635,18.3141838104904,14.9221076083056,7.82947188779809,94.0900477481651,3204.57023400134,312.70003359014,6250.77546425183,17.895601620642,14.5853503214671,7.65044736572209,92.7219833113942,2816.07504543066,302.428756847359,6624.44242919383,17.5123745496502,14.272157425305,7.48689197911209,91.0313287204948
"22",2.1,15836.7221577025,810.032520123955,3559.20517623284,1.6366373285615e-119,1.16819318028865e-59,1.05400888447098e-59,8.79118610266711e-112,6958.46137209761,402.590007072797,2640.26756828747,15.760159108967,11.5750182994457,6.91500420266459,42.8887776525319,6114.9194106652,386.460553386241,3433.0747161969,19.0396345569291,14.8637311606663,8.21398021916839,72.014029702409,5373.62982200918,368.736514409839,4145.41664484004,19.4533016215769,15.6014624286811,8.33996044031622,86.7666551786312,4722.19769846793,352.224175114487,4777.43104620935,19.1830932410686,15.5497473958895,8.20725425632389,92.8864017103733,4149.73116544507,337.430182362017,5334.32239727791,18.756784030535,15.2633672217452,8.01993481892314,94.5461318531304,3646.65908520222,324.309513076609,5823.03000509976,18.3141841754253,14.9221078365682,7.82947205173006,94.0900465140213,3204.57085759119,312.700049439761,6250.77478949687,17.8956019738162,14.5853505424372,7.65044752432912,92.7219820279612,2816.07563416879,302.428771846765,6624.44179244035,17.5123748788056,14.2721576286636,7.48689212722015,91.0313273550509
"23",2.2,15836.7223410051,810.032530116371,3559.20497768288,1.58302988675719e-119,1.14888749618198e-59,1.0365902221191e-59,8.51958486612996e-112,6958.46155419555,402.590014097753,2640.26739395226,15.7601592292653,11.5750183619937,6.91500425937262,42.8887773370706,6114.91969902264,386.460563065503,3433.0744466487,19.0396347521891,14.8637312641593,8.21398031001998,72.0140289654971,5373.63021849967,368.736526685187,4145.41626760927,19.4533018932699,15.6014625833266,8.33996056471185,86.7666541769902,4722.19819218333,352.224189465247,4777.43055957283,19.1830935738005,15.5497475963593,8.20725440693985,92.8864006031753,4149.73173457993,337.430198036124,5334.32181377368,18.7567843976526,15.2633674504234,8.01993498403007,94.5461307143762,3646.65969917056,324.309529278782,5823.02935404145,18.3141845504021,14.922108073568,7.82947221988768,94.0900453496669,3204.57147918269,312.700065442149,6250.7741167683,17.8956023370287,14.5853507721303,7.65044768716214,92.7219808146154,2816.07622185248,302.428787007992,6624.44115643647,17.5123752179652,14.2721578407059,7.48689227954107,91.0313260594832
"24",2.3,15836.7225206957,810.032540497988,3559.20478180849,1.53117833660136e-119,1.12990085985363e-59,1.01945942242435e-59,8.25637467367232e-112,6958.46173368891,402.590021299747,2640.26722165084,15.7601593576156,11.5750184306806,6.91500431957826,42.8887770479273,6114.91998420158,386.460572900591,3433.07417978008,19.0396349570412,14.8637313755622,8.21398040495073,72.0140282747718,5373.63061150608,368.736539102678,4145.41589357103,19.453302174733,15.6014627463371,8.33996069322709,86.7666532332358,4722.19868239032,352.224203953096,4777.43007640959,19.1830939163338,15.5497478053405,8.20725456167856,92.8863995603154,4149.7323004564,337.430213848699,5334.32123368723,18.7567847746465,15.2633676877051,8.01993515329061,94.5461296433707,3646.66031038732,324.309545624545,5823.02870593103,18.3141849353188,14.922108319221,7.82947239222761,94.0900442545828,3204.57209876181,312.700081595289,6250.77344608573,17.8956027101818,14.5853510104655,7.65044785417955,92.7219796708547,2816.07680846169,302.428802329015,6624.4405212111,17.5123755670339,14.2721580613533,7.48689243603445,91.0313248333017
"25",2.4,15836.7226967987,810.032551265044,3559.20458859605,1.48102516452168e-119,1.11122799868626e-59,1.002611728138e-59,8.0012962863389e-112,6958.46191059066,402.590028676881,2640.26705137382,15.7601594939411,11.5750185054495,6.91500438324798,42.8887767848848,6114.92026621334,386.460582889591,3433.07391558046,19.0396351713887,14.8637314947982,8.21398050391914,72.0140276298545,5373.6310010363,368.736551660351,4145.4155227157,19.4533024658627,15.6014629176284,8.33996082581776,86.7666523468961,4722.19916909223,352.224218576031,4777.4295967136,19.183094268563,15.5497480227461,8.20725472049492,92.8863985812767,4149.73286307248,337.430229797718,5334.32065701906,18.756785161412,15.2633679335038,8.0199353266601,94.5461286395857,3646.6609188447,324.309562111882,5823.02806077785,18.3141853300742,14.9221085734432,7.82947256870663,94.09004322825,3204.57271631471,312.700097897174,6250.77277746847,17.8956030931782,14.5853512573624,7.65044802533988,92.7219785961779,2816.07739397661,302.428817807815,6624.43988679284,17.5123759259172,14.2721582905275,7.48689259665997,91.0313236760172
"26",2.5,15836.7228693387,810.032562413787,3559.20439803195,1.43251474078132e-119,1.09286372719837e-59,9.86042460630129e-60,7.75409847428955e-112,6958.46208491382,402.590036227266,2640.26688311179,15.7601596381654,11.5750185862434,6.91500445034838,42.8887765477268,6114.92054506932,386.460593030597,3433.07365403925,19.0396353951355,14.863731621791,8.21398060688386,72.0140270303679,5373.63138709835,368.736564356258,4145.41515503355,19.4533027665559,15.6014630971166,8.33996096243985,86.7666515175001,4722.1996522925,352.224233332058,4777.42912047872,19.1830946303826,15.5497482484895,8.20725488334406,92.886397665543,4149.73342242632,337.430245881169,5334.32008376944,18.7567855578446,15.2633681877333,8.01993550409403,94.5461277024935,3646.66152453508,324.309578738782,5823.027418591,18.3141857345669,14.922108836151,7.82947274928161,94.0900422701504,3204.57333182778,312.700114345805,6250.77211093554,17.8956034859206,14.5853515127405,7.65044820060173,92.7219775900836,2816.07797837763,302.42883344238,6624.43925321002,17.5123762945206,14.2721585281504,7.48689276137745,91.0313225871407
"27",2.6,15836.7230383399,810.032573940482,3559.2042101026,1.38559325777461e-119,1.07480294560425e-59,9.69747018590321e-60,7.51453776935982e-112,6958.46225667146,402.59004394902,2640.26671685533,15.7601597902123,11.5750186730057,6.91500452084616,42.8887763362372,6114.92082078103,386.460603321711,3433.07339514579,19.0396356281856,14.8637317564645,8.21398071380371,72.0140264759359,5373.63176970038,368.736577188458,4145.41479051477,19.4533030767099,15.6014632847179,8.33996110304954,86.7666507445781,4722.20013199475,352.224248219193,4777.42864769865,19.1830950016877,15.5497484824844,8.20725505018121,92.8863968125994,4149.73397851626,337.430262097045,5334.31951393847,18.7567859638401,15.2633684503076,8.01993568554803,94.5461268315671,3646.66212745104,324.309595503242,5823.0267793793,18.314186148696,14.9221091072609,7.82947293390956,94.090041379766,3204.57394528757,312.700130939189,6250.77144650567,17.8956038883122,14.5853517765196,7.65044837992382,92.7219766520713,2816.07856164535,302.42884923071,6624.43862049066,17.51237667275,14.2721587741441,7.48689293014679,91.0313215661838
